Battery_Voltage_(Lead-acid)_(V),Motor_Temperature,Motor_RPM,Range_(km),Tyre_Pressure_(psi),Brake_Fluid_(%),Coolant_Level_(%),Lubricant_Level_(%),Maintenance_Needed_(Area)
12.36,78.25,2895,255,32.92,79,66,84,Brake System and Lubrication
12.58,77.93,2913,252,35.48,78,64,86,Tyres and Lubrication
12.37,82.31,2823,294,30.85,77,60,80,Tyres
12.53,77.63,3120,296,31.62,64,68,86,Tyres and Lubrication
12.88,76.86,2842,293,35.74,79,72,80,Motor and Lubrication
12.69,77.04,3011,275,35.31,79,66,84,Brake System and Lubrication
12.32,79.19,2927,283,33.98,75,62,90,Brake System and Lubrication
12.73,81.29,3292,250,32.45,65,73,82,Tyres and Brake System
12.82,79.61,2947,272,33.71,77,60,83,No Maintenance Required
12.27,75.28,2936,281,30.65,60,69,84,Motor and Tyres
12.75,76.17,3199,284,31.52,65,62,80,No Maintenance Required
12.46,78.56,3218,270,34.62,75,66,79,No Maintenance Required
12.21,81.92,2899,250,34.27,62,61,86,Tyres
12.38,78.06,2830,274,33.43,72,66,89,Tyres
12.17,84.03,3096,267,35.96,64,61,81,Tyres and Brake System
12.58,80.83,3052,287,34.06,62,73,82,No Maintenance Required
12.45,77.59,3090,260,34.12,69,60,81,Tyres and Brake System
12.61,82.58,2843,260,30.05,66,63,83,Tyres
12.32,77.48,3147,252,31.76,80,70,78,No Maintenance Required
12.51,78.4,3000,261,35.38,63,67,89,No Maintenance Required
12.65,75.63,3013,299,35.96,62,71,85,Brake System and Lubrication
12.53,80.17,3092,252,30.02,60,72,79,Motor and Tyres
12.71,78.79,3268,298,36.8,78,71,90,Battery
12.35,83.4,2803,277,36.65,71,62,79,Motor and Tyres
12.87,82.86,2816,291,36.2,79,68,81,Tyres
12.69,76.33,3191,285,35.22,74,66,83,Tyres
12.53,81.34,2922,264,30.33,73,63,90,Battery
12.62,76.15,3215,253,32.74,67,69,79,Battery
12.65,80.34,2842,274,36.08,79,61,78,Motor and Tyres
12.81,81.82,3021,291,31.73,80,72,78,Motor and Tyres
12.17,80.62,2801,266,30.02,75,74,87,Tyres and Brake System
12.85,81.05,2850,252,30.79,80,72,89,Motor and Lubrication
12.39,83.02,3125,260,36.79,66,71,90,No Maintenance Required
12.86,83.27,2913,294,36.49,77,71,88,Brake System and Lubrication
12.44,79.73,3083,285,36.57,65,67,88,Motor and Tyres
12.45,76.62,3108,262,35.32,80,67,89,Motor and Lubrication
12.81,84.91,3279,289,30.29,62,70,83,Tyres and Brake System
12.6,75.0,3156,287,30.95,75,75,85,Motor and Tyres
12.8,81.69,3273,271,31.61,69,70,79,Tyres
12.55,82.01,3191,291,30.76,80,63,83,Tyres
12.25,83.83,3252,278,35.47,73,63,79,Motor and Tyres
12.75,82.84,3203,252,36.58,68,66,88,Motor and Tyres
12.49,75.45,2800,292,33.25,76,72,78,Motor and Lubrication
12.75,77.4,2954,268,35.02,72,73,86,Tyres
12.5,78.03,2800,258,33.37,76,75,78,Battery
12.37,84.09,2945,260,33.18,74,66,81,Battery
12.67,75.31,2926,289,36.44,71,61,84,Tyres
12.6,78.66,3002,256,31.0,80,74,87,Tyres and Brake System
12.67,80.72,2967,266,30.1,79,64,89,Tyres
12.66,77.22,3037,250,31.64,78,68,84,No Maintenance Required
12.21,77.88,3126,295,32.72,79,60,78,Motor and Lubrication
12.73,76.87,3139,268,31.03,65,68,90,No Maintenance Required
12.53,78.86,3078,282,34.3,74,67,81,No Maintenance Required
12.68,78.46,3234,287,34.57,60,70,88,Battery
12.46,83.04,2816,282,33.37,66,74,87,Tyres and Brake System
12.81,83.22,2874,298,30.27,62,69,88,Tyres and Brake System
12.63,79.65,2863,264,35.55,67,65,86,Tyres and Lubrication
12.4,77.45,2819,280,36.69,65,60,89,No Maintenance Required
12.63,80.13,3097,265,30.67,60,62,85,Tyres and Lubrication
12.57,77.99,2838,276,33.82,76,72,89,Tyres and Lubrication
12.61,76.33,3153,299,33.79,64,70,80,Tyres and Brake System
12.5,80.75,2909,268,34.9,67,74,85,Tyres
12.73,82.45,2880,270,33.98,80,63,90,Motor and Lubrication
12.75,80.26,3114,271,34.49,76,60,88,Tyres and Brake System
12.83,83.67,3057,300,30.23,73,73,81,No Maintenance Required
12.59,75.27,3208,253,30.67,79,68,81,Tyres
12.78,80.67,3258,289,33.83,68,61,88,Tyres
12.55,76.03,2988,255,36.52,64,68,81,Motor and Lubrication
12.36,80.26,2923,264,36.83,76,62,82,Tyres and Brake System
12.61,77.91,3118,269,32.2,72,68,85,Tyres and Lubrication
12.89,81.8,3208,288,32.56,73,67,80,Tyres
12.76,78.13,3267,294,30.46,60,63,80,Tyres
12.52,77.85,2896,258,32.61,75,73,84,Motor and Lubrication
12.31,79.49,2929,286,31.32,72,72,87,Tyres and Lubrication
12.45,83.4,2884,288,30.45,78,69,83,Tyres
12.33,75.41,3226,272,34.38,60,61,85,Tyres
12.17,81.21,3066,250,36.68,66,61,79,No Maintenance Required
12.53,77.2,3260,287,36.27,62,73,89,Tyres
12.82,81.94,3299,288,30.62,63,70,89,No Maintenance Required
12.37,84.16,3278,291,32.62,80,73,90,No Maintenance Required
12.82,78.35,3142,273,35.66,70,70,83,Tyres and Brake System
12.64,77.78,2879,256,36.79,67,71,82,Motor and Tyres
12.45,80.09,2922,288,31.95,61,72,83,Tyres
12.14,76.87,3272,262,31.04,78,64,82,Tyres and Brake System
12.53,83.19,2943,274,36.36,71,71,87,No Maintenance Required
12.26,76.98,3179,256,34.34,66,64,83,Tyres
12.31,75.02,3241,257,32.99,80,64,82,No Maintenance Required
12.84,79.93,3229,261,31.09,60,68,78,Brake System and Lubrication
12.52,79.79,3275,289,34.2,76,68,86,Tyres and Brake System
12.26,79.57,3131,278,33.66,71,74,83,Motor and Tyres
12.11,84.86,2927,257,36.49,76,69,85,Motor and Lubrication
12.6,76.94,3003,299,32.07,80,61,79,Tyres and Lubrication
12.37,77.65,2895,278,33.69,74,64,81,No Maintenance Required
12.2,77.43,3006,276,36.97,77,65,82,Tyres
12.68,78.73,3260,253,33.37,79,74,83,Brake System and Lubrication
12.53,75.93,3263,278,33.23,79,64,89,Tyres
12.51,82.28,2850,288,36.24,72,65,87,Tyres and Lubrication
12.4,83.0,3226,283,36.1,70,65,80,Motor and Lubrication
12.29,75.65,3030,284,33.83,75,60,82,Tyres and Lubrication
12.49,79.64,2928,270,31.66,67,70,88,Tyres and Lubrication
12.73,83.96,2897,269,36.29,75,70,89,Battery
12.78,83.02,3132,279,31.4,66,73,84,Tyres
12.44,83.26,3205,290,30.13,60,63,82,Tyres and Brake System
12.71,81.95,3067,271,30.04,80,66,84,Motor and Lubrication
12.7,79.11,2865,291,36.53,75,61,84,Battery
12.13,83.19,3130,261,31.98,78,61,85,Tyres
12.82,81.59,3189,287,35.51,72,63,86,Tyres and Lubrication
12.78,82.4,3041,267,32.77,66,74,83,No Maintenance Required
12.55,76.52,3147,280,32.95,68,61,90,No Maintenance Required
12.25,80.74,3117,282,34.64,64,71,79,Tyres and Brake System
12.83,84.54,2890,281,31.12,64,71,89,Tyres and Brake System
12.75,83.28,2891,254,30.54,73,62,89,Battery
12.81,76.75,2881,297,32.11,73,60,83,Motor and Tyres
12.38,84.91,3231,251,30.53,72,60,81,Tyres and Brake System
12.44,78.66,3085,251,30.18,76,69,78,Tyres and Lubrication
12.88,81.51,2988,286,32.18,69,73,90,Motor and Lubrication
12.33,80.44,3165,288,36.62,61,60,88,Tyres and Brake System
12.24,83.06,3290,257,35.13,80,66,90,Tyres
12.62,76.66,3095,286,35.19,65,70,79,Brake System and Lubrication
